tipo_objeto,material,estado,uso_deseado,presupuesto,cantidad,transformacion,ciudad,preferencia,producto_recomendado
prenda_textil,tela,danado,restaurar,105665,1,ninguna,Bucaramanga,fisico,Almohada Abrazo
reloj_instrumento,tela,bueno,conservar,58600,1,ninguna,Bucaramanga,fisico,Caja del Tiempo
reloj_instrumento,metal,muy_danado,recordar_digitalmente,121265,1,ninguna,Medellin,fisico,Restauración Especial
mueble,vidrio,regular,restaurar,127919,4,moderada,Bogota,fisico,Restauración Especial
prenda_textil,peluche_sintetico,danado,recordar_digitalmente,30000,1,ninguna,Barranquilla,fisico,Almohada Abrazo
reloj_instrumento,papel,danado,recordar_digitalmente,49423,3,moderada,Bucaramanga,fisico,Restauración Especial
prenda_textil,tela,regular,transformar,99474,5,leve,Bogota,fisico,Almohada Abrazo
otro_objeto,peluche_sintetico,regular,transformar,83931,1,moderada,Bogota,fisico,Restauración Especial
fotografia,metal,regular,compartir,94411,1,leve,Cali,digital,Memorial Digital
peluche,metal,bueno,transformar,65143,1,ninguna,Medellin,digital,Memorial Digital
mueble,metal,muy_danado,compartir,125778,3,total,Medellin,fisico,Recuerdo Compartido
joya_pequena,vidrio,muy_danado,recordar_digitalmente,122222,1,leve,Medellin,fisico,Libro de Memorias
prenda_textil,tela,bueno,restaurar,97311,2,total,Bucaramanga,fisico,Almohada Abrazo
reloj_instrumento,mixto,danado,recordar_digitalmente,134453,3,ninguna,Bogota,fisico,Recuerdo Compartido
carta_documento,peluche_sintetico,bueno,transformar,111362,1,total,Bogota,digital,Memorial Digital
carta_documento,madera,bueno,transformar,64924,3,leve,Medellin,fisico,Libro de Memorias
fotografia,tela,danado,compartir,107906,1,moderada,Cali,fisico,Cuadro de Historia
joya_pequena,papel,bueno,compartir,61439,3,leve,Medellin,fisico,Recuerdo Compartido
fotografia,vidrio,muy_danado,restaurar,125745,4,leve,Cali,fisico,Cuadro de Historia
mueble,mixto,muy_danado,conservar,93252,1,ninguna,Cali,fisico,Almohada Abrazo
joya_pequena,metal,bueno,conservar,88529,2,ninguna,Medellin,fisico,Caja del Tiempo
peluche,peluche_sintetico,bueno,recordar_digitalmente,71167,1,total,Medellin,fisico,Peluche Memoria
otro_objeto,metal,muy_danado,compartir,137788,1,ninguna,Barranquilla,fisico,Restauración Especial
reloj_instrumento,mixto,bueno,conservar,89591,1,moderada,Bogota,fisico,Restauración Especial
joya_pequena,mixto,regular,compartir,80008,1,total,Medellin,digital,Memorial Digital
prenda_textil,mixto,bueno,conservar,82675,2,ninguna,Bogota,digital,Memorial Digital
joya_pequena,madera,muy_danado,compartir,113630,1,total,Bogota,fisico,Caja del Tiempo
peluche,cuero,danado,compartir,107790,1,total,Medellin,fisico,Restauración Especial
joya_pequena,tela,bueno,transformar,109445,1,total,Bucaramanga,digital,Memorial Digital
fotografia,tela,bueno,restaurar,110078,1,ninguna,Medellin,fisico,Cuadro de Historia
joya_pequena,tela,bueno,compartir,169957,2,moderada,Cali,fisico,Recuerdo Compartido
mueble,metal,danado,compartir,80775,1,moderada,Barranquilla,fisico,Restauración Especial
prenda_textil,tela,muy_danado,recordar_digitalmente,77071,5,ninguna,Bogota,fisico,Almohada Abrazo
carta_documento,madera,danado,conservar,66517,3,moderada,Cali,fisico,Libro de Memorias
carta_documento,tela,danado,conservar,116559,4,leve,Cali,fisico,Libro de Memorias
prenda_textil,madera,danado,transformar,134514,2,moderada,Medellin,fisico,Almohada Abrazo
carta_documento,mixto,danado,conservar,91011,1,total,Cali,fisico,Libro de Memorias
mueble,madera,danado,restaurar,65594,2,total,Bucaramanga,fisico,Restauración Especial
prenda_textil,madera,bueno,transformar,66143,2,leve,Barranquilla,fisico,Almohada Abrazo
carta_documento,peluche_sintetico,bueno,transformar,117770,1,leve,Bogota,fisico,Libro de Memorias
reloj_instrumento,madera,regular,restaurar,121013,5,leve,Barranquilla,fisico,Restauración Especial
mueble,cuero,regular,transformar,114010,1,ninguna,Barranquilla,digital,Memorial Digital
otro_objeto,metal,regular,compartir,71707,1,leve,Medellin,fisico,Restauración Especial
joya_pequena,cuero,danado,transformar,103125,3,moderada,Cali,fisico,Caja del Tiempo
reloj_instrumento,peluche_sintetico,bueno,conservar,99084,3,moderada,Medellin,fisico,Caja del Tiempo
carta_documento,tela,bueno,recordar_digitalmente,102654,1,moderada,Barranquilla,fisico,Libro de Memorias
prenda_textil,cuero,regular,transformar,125500,1,total,Bogota,fisico,Almohada Abrazo
joya_pequena,peluche_sintetico,muy_danado,conservar,102825,4,moderada,Bucaramanga,fisico,Caja del Tiempo
prenda_textil,vidrio,danado,compartir,118761,1,moderada,Bucaramanga,fisico,Almohada Abrazo
reloj_instrumento,cuero,regular,recordar_digitalmente,97365,2,total,Bucaramanga,digital,Memorial Digital
carta_documento,vidrio,regular,compartir,105119,2,moderada,Barranquilla,fisico,Libro de Memorias
joya_pequena,mixto,regular,conservar,117095,1,moderada,Bogota,digital,Memorial Digital
joya_pequena,vidrio,regular,restaurar,43999,1,ninguna,Medellin,digital,Memorial Digital
prenda_textil,mixto,muy_danado,recordar_digitalmente,83811,1,total,Barranquilla,fisico,Almohada Abrazo
fotografia,tela,bueno,compartir,78536,1,total,Bogota,fisico,Cuadro de Historia
prenda_textil,mixto,regular,compartir,72639,2,moderada,Barranquilla,fisico,Almohada Abrazo
reloj_instrumento,mixto,regular,compartir,85370,1,leve,Cali,fisico,Restauración Especial
otro_objeto,metal,danado,compartir,147322,1,moderada,Medellin,fisico,Restauración Especial
mueble,papel,regular,restaurar,64695,1,leve,Medellin,fisico,Restauración Especial
reloj_instrumento,peluche_sintetico,muy_danado,compartir,128889,1,total,Barranquilla,digital,Memorial Digital
peluche,cuero,muy_danado,conservar,36099,4,moderada,Barranquilla,digital,Memorial Digital
reloj_instrumento,metal,muy_danado,restaurar,83279,1,total,Bogota,fisico,Restauración Especial
reloj_instrumento,madera,muy_danado,restaurar,100696,5,ninguna,Barranquilla,fisico,Restauración Especial
peluche,papel,muy_danado,restaurar,115517,3,leve,Bogota,fisico,Restauración Especial
mueble,metal,muy_danado,transformar,119892,1,total,Cali,fisico,Restauración Especial
reloj_instrumento,vidrio,bueno,compartir,122767,1,ninguna,Cali,fisico,Restauración Especial
prenda_textil,tela,bueno,restaurar,82794,1,ninguna,Bucaramanga,fisico,Almohada Abrazo
fotografia,mixto,bueno,recordar_digitalmente,78817,4,total,Cali,fisico,Cuadro de Historia
fotografia,papel,regular,transformar,125029,1,ninguna,Cali,fisico,Cuadro de Historia
reloj_instrumento,cuero,regular,conservar,88304,2,leve,Bogota,fisico,Caja del Tiempo
carta_documento,papel,bueno,transformar,50350,1,moderada,Bogota,fisico,Libro de Memorias
mueble,tela,muy_danado,compartir,55334,1,moderada,Barranquilla,fisico,Restauración Especial
reloj_instrumento,madera,danado,recordar_digitalmente,62819,3,total,Barranquilla,fisico,Restauración Especial
carta_documento,peluche_sintetico,regular,conservar,112400,1,total,Medellin,fisico,Libro de Memorias
reloj_instrumento,peluche_sintetico,bueno,compartir,99984,3,leve,Barranquilla,fisico,Recuerdo Compartido
carta_documento,peluche_sintetico,danado,recordar_digitalmente,119166,2,moderada,Bucaramanga,fisico,Libro de Memorias
joya_pequena,papel,regular,compartir,80046,1,leve,Barranquilla,fisico,Caja del Tiempo
otro_objeto,mixto,bueno,conservar,100548,1,total,Medellin,fisico,Restauración Especial
mueble,mixto,danado,compartir,116895,5,moderada,Cali,fisico,Recuerdo Compartido
